Matrix Size,Eigenvalue,Kinetic Difference,Log Kinetic Difference
781,1.84623093807167047910021310181590948,0.0037961239384073222334753709502298569065439701080,-2.420659616874956565624188442598097026348114013671875
782,1.84623093807005966036791343817988078,0.0037961239367965035011757073142011569065439701080,-2.420659617059242041392508326680399477481842041015625
783,1.84623093806845705752645444554919494,0.0037961239351939006597167146835153169065439701080,-2.42065961724258738030357562820427119731903076171875
784,1.84623093806686261826163908075589696,0.0037961239335994613949013498902173369065439701080,-2.420659617424998355517118397983722388744354248046875
785,1.84623093806527629065849124367290078,0.0037961239320131337917535128072211569065439701080,-2.42065961760648207246049423702061176300048828125
786,1.84623093806369802319770599305806288,0.0037961239304348663309682621923832569065439701080,-2.420659617787042972025801645941101014614105224609375
787,1.84623093806212776475213578786566001,0.0037961239288646078853980569999803869065439701080,-2.420659617966688159640398225747048854827880859375
788,1.84623093806056546458331234660923554,0.0037961239273023077165746157435559169065439701080,-2.42065961814542252028559232712723314762115478515625
789,1.84623093805901107233800371344320935,0.0037961239257479154712659825775297269065439701080,-2.420659618323252271210321850958280265331268310546875
790,1.84623093805746453804480613701976344,0.0037961239242013811780684061540838169065439701080,-2.4206596185001831855743148480542004108428955078125
791,1.84623093805592581211077036776207026,0.0037961239226626552440326368963906369065439701080,-2.420659618676220592448089519166387617588043212890625
792,1.84623093805439484531806197290549852,0.0037961239211316884513242420398188969065439701080,-2.420659618851370709080583765171468257904052734375
793,1.84623093805287158882065529593002226,0.0037961239196084319539175650643426369065439701080,-2.420659619025638420453105936758220195770263671875
794,1.84623093805135599414106067131113920,0.0037961239180928372743229404454595769065439701080,-2.42065961919902949972538408474065363407135009765625
795,1.84623093804984801316708452051507348,0.0037961239165848563003467896493938569065439701080,-2.420659619371549720057146259932778775691986083984375
796,1.84623093804834759814862196404116547,0.0037961239150844412818842331754858469065439701080,-2.420659619543204410518910663085989654064178466796875
797,1.84623093804685470169448157156483038,0.0037961239135915448277438406991507569065439701080,-2.420659619713998456091985644889064133167266845703125
798,1.84623093804536927676924190048589725,0.0037961239121061199025041696202176269065439701080,-2.420659619883938074025309106218628585338592529296875
799,1.84623093804389127669013945467908707,0.0037961239106281198234017238134074469065439701080,-2.420659620053028593389399247826077044010162353515625
800,1.84623093804242065512398771835528514,0.0037961239091574982572499874896055169065439701080,-2.420659620221274455076354570337571203708648681640625
801,1.84623093804095736608412691286009429,0.0037961239076942092173891819944146669065439701080,-2.4206596203886814322459031245671212673187255859375
802,1.84623093803950136392740413128070165,0.0037961239062382070606664004150220269065439701080,-2.420659620555255298057772961328737437725067138671875
803,1.84623093803805260335118351504393882,0.0037961239047894464844457841782591969065439701080,-2.420659620721000049314852731185965240001678466796875
804,1.84623093803661103939038613089833539,0.0037961239033478825236484000326557669065439701080,-2.42065962088592190326608033501543104648590087890625
805,1.84623093803517662741455922519295059,0.0037961239019134705478214943272709669065439701080,-2.42065962105002530080355427344329655170440673828125
806,1.84623093803374932312497451367050089,0.0037961239004861662582367828048212669065439701080,-2.420659621213315570997792747220955789089202880859375
807,1.84623093803232908255175520198674097,0.0037961238990659256850174711210613469065439701080,-2.420659621375798042919313957099802792072296142578125
808,1.84623093803091586205103140219059606,0.0037961238976527051842936713249164369065439701080,-2.42065962153747715746021640370599925518035888671875
809,1.84623093802950961830212363617712330,0.0037961238962464614353859053114436769065439701080,-2.420659621698357799601808437728323042392730712890625
810,1.84623093802811030830475411647017517,0.0037961238948471514380163856044955469065439701080,-2.420659621858445742503818109980784356594085693359375
811,1.84623093802671788937628549129403811,0.0037961238934547325095477604283584869065439701080,-2.420659622017744982969134071026928722858428955078125
812,1.84623093802533231914898674995061118,0.0037961238920691622822490190849315569065439701080,-2.420659622176260850068274521618150174617767333984375
813,1.84623093802395355556732599886169026,0.0037961238906903987005882679960106369065439701080,-2.420659622333997784693337962380610406398773193359375
814,1.84623093802258155688528979649739478,0.0037961238893184000185520656317151569065439701080,-2.4206596224909606718256327440030872821807861328125
815,1.84623093802121628166372876320671615,0.0037961238879531247969910323410365269065439701080,-2.42065962264715484053567706723697483539581298828125
816,1.84623093801985768876772917580975338,0.0037961238865945319009914449440737569065439701080,-2.42065962280258428762635958264581859111785888671875
817,1.84623093801850573736401026155973911,0.0037961238852425804972725306940594869065439701080,-2.420659622957253898078988640918396413326263427734375
818,1.84623093801716038691834690385827534,0.0037961238838972300516091729925957169065439701080,-2.420659623111168112785662742680869996547698974609375
