Matrix size,Eigenvalue 1,Eigenvalue 2,Difference,Log(Adjusted Eigenvalue)
56,0.500000172653127359987120454616280717,1.84623206583098072678450156230666445,1.346231893177853366797381107690383733,0.129119875083511581603801232631667517125606536865234375
57,0.500000163761846205299669128277756524,1.84623200769278062993949091076950075,1.346231843930934424639821782491744226,0.1291198591964525521635920313201495446264743804931640625
58,0.500000155470758689531631937583250768,1.84623195348234675011923557964435564,1.346231798011588060587603642061104872,0.1291198443828681374778710733153275214135646820068359375
59,0.500000147730062272047867281368009311,1.84623190287344976594575665147227006,1.346231755143387493897889370104260749,0.12911983055358311478499899749294854700565338134765625
60,0.500000140494832351282903617342651668,1.84623185557184799283458075860063939,1.346231715077015641551677141257987722,0.1291198176281678211552161883446387946605682373046875
61,0.500000133724473826091392999559610364,1.84623181131168655693046684024687015,1.346231677587212730839073840687259786,0.12911980553395363546798080278676934540271759033203125
62,0.500000127382242013162611492941968250,1.84623176985235254086035857253686365,1.346231642470110527697747079594895400,0.12911979420517261107903550509945489466190338134765625
63,0.500000121434823207009667038144858580,1.84623173097572214891506569322969962,1.346231609540898941905398655084841040,0.129119783582205049921043382710195146501064300537109375
64,0.500000115851966657415471446893516821,1.84623169448374575373546771576644121,1.346231578631779096319996268872924389,0.129119773610919086337389671825803816318511962890625
65,0.500000110606160980512809384599792569,1.84623166019632486910957597069125724,1.346231549590163888596766586091464671,0.129119764242090095951454031819594092667102813720703125
66,0.500000105672349057974029833492307782,1.84623162794944193572921862535920006,1.346231522277092877755188791866892278,0.12911975543088960449722435441799461841583251953125
67,0.500000101027676349771450631374010658,1.84623159759350954471604426590102293,1.346231496565833194944593634527012272,0.1291197471364335103150011718753376044332981109619140625
68,0.500000096651268278629280856961518241,1.84623156899191054903802341396742253,1.346231472340642270408742557005904289,0.1291197393213832089742254538577981293201446533203125
69,0.500000092524032962245885874781415368,1.84623154201970458171539404876529364,1.346231449495671619469508173983878272,0.1291197319515920149957111107141827233135700225830078125
70,0.500000088628486091936042097312646303,1.84623151656247993954832164752609803,1.346231427933993847612279550213451727,0.1291197249957912462914322304641245864331722259521484375
71,0.500000084948595199366302481878132422,1.84623149251533270658735972301957976,1.346231407566737507221057241141447338,0.1291197184253109198071030050414265133440494537353515625
72,0.500000081469640929562096795035426639,1.84623146978195746872091552685196732,1.346231388312316539158818731816540681,0.129119712213831394631569082775968126952648162841796875
73,0.500000078178093259101197278668604438,1.84623144827383608050253617244602561,1.346231370095742821401338893777421172,0.12911970633716152168091184648801572620868682861328125
74,0.500000075061500872266589787458366777,1.84623142790951274634517481976204252,1.346231352848011874078585032303675743,0.12911970077304035786625036053010262548923492431640625
75,0.500000072108392142288892021645837502,1.84623140861394521911601871359123982,1.346231336505553076827126691945402318,0.12911969550096014103246488957665860652923583984375
76,0.500000069308186365799385753060856144,1.84623139031792324042427050308645741,1.346231321009736874624884750025601266,0.1291196905020069174430119574026321060955524444580078125
77,0.500000066651114071355437441889789633,1.84623137295754648222671969787044135,1.346231306306432410871282255980651717,0.129119685758718016899138092412613332271575927734375
78,0.500000064128145371667646855369323205,1.84623135647375522696586231131074816,1.346231292345609855298215455941424955,0.129119681254953933002838084576069377362728118896484375
79,0.500000061730925457536661043382175395,1.84623134081190786691514286249407628,1.346231279080982409378481819111900885,0.129119676975782471384235350342351011931896209716796875
