Matrix size,Lowest energy,Difference,Log
962,0.500000000034481272932844246933461854,3.4481272932844246933461854E-11,10.462416709857020501929572107938596011628573161185
963,0.500000000034373993661840260359448358,3.4373993661840260359448358E-11,10.463770007445525860916830739887578818647488984534
964,0.500000000034267158957086486209932698,3.4267158957086486209932698E-11,10.465121900834420989750071561190323745108598353926
965,0.500000000034160766518108373036428596,3.4160766518108373036428596E-11,10.466472392934733916790824112300279013701171141595
966,0.500000000034054814058701578824409471,3.4054814058701578824409471E-11,10.467821486648449848213091984534669365825065419996
967,0.500000000033949299306828804302396981,3.3949299306828804302396981E-11,10.469169184868548578205501028929986083768444755236
968,0.500000000033844220004517476577140369,3.3844220004517476577140369E-11,10.470515490479041721105044352252575082889022543525
969,0.500000000033739573907758276894727430,3.3739573907758276894727430E-11,10.471860406355009745128736888495014728320792140882
970,0.500000000033635358786404505957845195,3.3635358786404505957845195E-11,10.473203935362638792644238006174094891523196882180
971,0.500000000033531572424072274225160036,3.3531572424072274225160036E-11,10.474546080359257350319162858010061159912774439084
972,0.500000000033428212618041514950851187,3.3428212618041514950851187E-11,10.475886844193372700826068510585159754810157795072
973,0.500000000033325277179157809939247037,3.3325277179157809939247037E-11,10.477226229704707188493557546036098397983035914650
974,0.500000000033222763931735018557904582,3.3222763931735018557904582E-11,10.478564239724234325652880420988513822854589408384
975,0.500000000033120670713458707863144565,3.3120670713458707863144565E-11,10.479900877074214672198161258906317050765138484264
976,0.500000000033018995375290369909021875,3.3018995375290369909021875E-11,10.481236144568231575149868267694849819069899997497
977,0.500000000032917735781372424843842224,3.2917735781372424843842224E-11,10.482570045011226692762939143120922390658250684386
978,0.500000000032816889808934000020054943,3.2816889808934000020054943E-11,10.483902581199535337674445861543008263296386922324
979,0.500000000032716455348197475542831082,3.2716455348197475542831082E-11,10.485233755920921672735709658653229609398878004604
980,0.500000000032616430302285794782124969,3.2616430302285794782124969E-11,10.486563571954613687084156778376787130492153083214
981,0.500000000032516812587130527712516892,3.2516812587130527712516892E-11,10.487892032071338021528601158548293043780781777504
982,0.500000000032417600131380683843328371,3.2417600131380683843328371E-11,10.489219139033354595735476879383143893507829315095
983,0.500000000032318790876312265042730897,3.2318790876312265042730897E-11,10.490544895594491076232574463932787477420894047153
984,0.500000000032220382775738553144841954,3.2220382775738553144841954E-11,10.491869304500177164304746293721256776744815097608
985,0.500000000032122373795921125526158687,3.2122373795921125526158687E-11,10.493192368487478706253300419205993770285475485003
986,0.500000000032024761915481591911827901,3.2024761915481591911827901E-11,10.494514090285131628434258500245711202697998575403
