Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Log(Original - Constant),Error,Formula
860,0.20832141853834402,0.2072240030401278,0.0017347731695520896,-2.7607573033814625,0.00529579335461298,0.00283exp(-x^-23.60880) + 0.20549
861,0.20832141853834402,0.2072228418814684,0.0017336120108926711,-2.761048092778259,0.005301426459077392,0.00283exp(-x^-23.60880) + 0.20549
862,0.20832141853834402,0.2072216825408496,0.0017324526702738874,-2.761338621258525,0.005307050806701273,0.00283exp(-x^-23.60880) + 0.20549
863,0.20832141853834402,0.2072205250120929,0.0017312951415171807,-2.761628889717842,0.005312666427164357,0.00283exp(-x^-23.60880) + 0.20549
864,0.20832141853834402,0.2072193692910848,0.0017301394205090914,-2.76191889853707,0.005318273340129408,0.00283exp(-x^-23.60880) + 0.20549
865,0.20832141853834402,0.2072182153727409,0.0017289855021651868,-2.76220864834323,0.005323871569971235,0.00283exp(-x^-23.60880) + 0.20549
866,0.20832141853834402,0.2072170632518555,0.0017278333812797697,-2.7624981397967425,0.005329461141654511,0.00283exp(-x^-23.60880) + 0.20549
867,0.20832141853834402,0.207215912888056,0.0017266830174802739,-2.762787382406185,0.005335042250762134,0.00283exp(-x^-23.60880) + 0.20549
868,0.20832141853834402,0.2072147643828059,0.0017255345122301757,-2.763076350008408,0.0053406144047424345,0.00283exp(-x^-23.60880) + 0.20549
869,0.20832141853834402,0.2072136176246423,0.0017243877540665808,-2.7633650699982666,0.0053461781440853305,0.00283exp(-x^-23.60880) + 0.20549
870,0.20832141853834402,0.2072124726366805,0.0017232427661047767,-2.763653535928145,0.0053517333563598305,0.00283exp(-x^-23.60880) + 0.20549
871,0.20832141853834402,0.2072113294414771,0.0017220995709013864,-2.7639417414753606,0.005357279931840963,0.00283exp(-x^-23.60880) + 0.20549
872,0.20832141853834402,0.2072101879970034,0.0017209581264276685,-2.764229696600179,0.005362818074161006,0.00283exp(-x^-23.60880) + 0.20549
873,0.20832141853834402,0.2072090483205677,0.0017198184499919722,-2.764517396306502,0.0053683476990609375,0.00283exp(-x^-23.60880) + 0.20549
874,0.20832141853834402,0.2072079104018111,0.0017186805312353892,-2.764804842577434,0.005373868856520144,0.00283exp(-x^-23.60880) + 0.20549
875,0.20832141853834402,0.2072067742342811,0.0017175443637053867,-2.765092036414779,0.005379381577566688,0.00283exp(-x^-23.60880) + 0.20549
876,0.20832141853834402,0.2072056398527013,0.0017164099821255774,-2.765378968405592,0.005384885693439173,0.00283exp(-x^-23.60880) + 0.20549
877,0.20832141853834402,0.2072045071203963,0.0017152772498205682,-2.7656656725101065,0.005390381867025451,0.00283exp(-x^-23.60880) + 0.20549
878,0.20832141853834402,0.2072033762154216,0.0017141463448458738,-2.7659521030395013,0.00539586923409992,0.00283exp(-x^-23.60880) + 0.20549
