Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Error,Formula
174,0.2094631362154765,0.2094505505542902,0.003960550554290204,6.008893819078099e-05,0.15552exp(-x^0.25187) + 0.20549
175,0.20944214577301265,0.209439389807563,0.003949389807562986,1.3158773295654044e-05,0.15552exp(-x^0.25187) + 0.20549
176,0.20942135506063644,0.2094283244247194,0.003938324424719392,-3.3278039644818816e-05,0.15552exp(-x^0.25187) + 0.20549
177,0.2094007612145945,0.2094173531405964,0.00392735314059639,-7.922899298014338e-05,0.15552exp(-x^0.25187) + 0.20549
178,0.20938036142671337,0.2094064745437121,0.003916474543712106,-0.00012470061900252935,0.15552exp(-x^0.25187) + 0.20549
179,0.20936015294303348,0.2093956872912688,0.0039056872912688056,-0.0001696995229223848,0.15552exp(-x^0.25187) + 0.20549
180,0.20934013306248414,0.2093849900677858,0.003894990067785792,-0.00021423219155840807,0.15552exp(-x^0.25187) + 0.20549
181,0.20932029913559752,0.2093743815916086,0.0038843815916085878,-0.00025830503044332637,0.15552exp(-x^0.25187) + 0.20549
182,0.2093006485632605,0.2093638605954127,0.003873860595412698,-0.0003019242765797065,0.15552exp(-x^0.25187) + 0.20549
183,0.20928117879550331,0.2093534258482997,0.003863425848299684,-0.000345096109622429,0.15552exp(-x^0.25187) + 0.20549
184,0.20926188733032322,0.2093430761350327,0.0038530761350326903,-0.00038782655824311224,0.15552exp(-x^0.25187) + 0.20549
185,0.2092427717125425,0.2093328102667585,0.0038428102667585062,-0.00043012155667944424,0.15552exp(-x^0.25187) + 0.20549
186,0.20922382953269916,0.2093226270851543,0.0038326270851543054,-0.0004719869697362294,0.15552exp(-x^0.25187) + 0.20549
187,0.20920505842596976,0.2093125254404248,0.003822525440424801,-0.0005134284927713791,0.15552exp(-x^0.25187) + 0.20549
188,0.2091864560711227,0.2093025042176921,0.003812504217692081,-0.000554451782615441,0.15552exp(-x^0.25187) + 0.20549
189,0.20916802018950145,0.2092925623166221,0.003802562316622099,-0.0005950623650554897,0.15552exp(-x^0.25187) + 0.20549
190,0.20914974854403628,0.2092826986609089,0.003792698660908894,-0.0006352656847570015,0.15552exp(-x^0.25187) + 0.20549
191,0.209131638938284,0.2092729121927931,0.0037829121927930864,-0.000675067083593491,0.15552exp(-x^0.25187) + 0.20549
192,0.20911368921549436,0.2092632018769419,0.003773201876941884,-0.0007144718235528467,0.15552exp(-x^0.25187) + 0.20549
193,0.20909589725770267,0.2092535666937878,0.003763566693787801,-0.0007534850591859478,0.15552exp(-x^0.25187) + 0.20549
194,0.20907826098484725,0.2092440056720005,0.0037540056720004877,-0.0007921119968094033,0.15552exp(-x^0.25187) + 0.20549
195,0.2090607783539114,0.2092345177580567,0.0037445177580567035,-0.0008303572756872076,0.15552exp(-x^0.25187) + 0.20549
196,0.2090434473580888,0.2092251020634916,0.003735102063491591,-0.0008682261526519413,0.15552exp(-x^0.25187) + 0.20549
197,0.20902626602597177,0.2092157576212203,0.0037257576212202936,-0.0009057233422713819,0.15552exp(-x^0.25187) + 0.20549
198,0.20900923242076144,0.2092064835031439,0.0037164835031438803,-0.0009428535821619476,0.15552exp(-x^0.25187) + 0.20549
199,0.2089923446394994,0.209197278802181,0.0037072788021809966,-0.0009796215507917572,0.15552exp(-x^0.25187) + 0.20549
200,0.20897560081231975,0.209188142622976,0.0036981426229759917,-0.001016031826618947,0.15552exp(-x^0.25187) + 0.20549
201,0.20895899910172164,0.2091790740900742,0.0036890740900741847,-0.001052088930548508,0.15552exp(-x^0.25187) + 0.20549
202,0.20894253770186058,0.2091700723410054,0.003680072341005397,-0.001087797296230204,0.15552exp(-x^0.25187) + 0.20549
203,0.20892621483785903,0.2091611365324548,0.003671136532454794,-0.0011231613027658073,0.15552exp(-x^0.25187) + 0.20549
204,0.20891002876513481,0.2091522658329276,0.003662265832927586,-0.001158185242832982,0.15552exp(-x^0.25187) + 0.20549
205,0.20889397776874752,0.2091434594248842,0.003653459424884181,-0.001192873335951834,0.15552exp(-x^0.25187) + 0.20549
206,0.20887806016276156,0.2091347165094048,0.0036447165094047884,-0.0012272297537539352,0.15552exp(-x^0.25187) + 0.20549
207,0.20886227428962617,0.2091260362969987,0.003636036296998685,-0.00126125857900318,0.15552exp(-x^0.25187) + 0.20549
208,0.20884661851957123,0.2091174180135203,0.0036274180135202894,-0.0012949638366879417,0.15552exp(-x^0.25187) + 0.20549
209,0.20883109125001872,0.2091088608997464,0.00361886089974639,-0.0013283494947679115,0.15552exp(-x^0.25187) + 0.20549
210,0.2088156909050093,0.2091003642073603,0.0036103642073603004,-0.0013614194476902683,0.15552exp(-x^0.25187) + 0.20549
211,0.20880041593464335,0.2090919272344964,0.0036019272344963993,-0.0013941776887738172,0.15552exp(-x^0.25187) + 0.20549
212,0.20878526481453666,0.2090835491646984,0.0035935491646983952,-0.0014266275436465804,0.15552exp(-x^0.25187) + 0.20549
213,0.20877023604528927,0.2090752293841527,0.003585229384152705,-0.0014587731878224993,0.15552exp(-x^0.25187) + 0.20549
214,0.2087553281519682,0.2090669671595793,0.0035769671595792807,-0.0014906181107664374,0.15552exp(-x^0.25187) + 0.20549
215,0.20874053968360284,0.2090587618075629,0.0035687618075628813,-0.0015221659269797302,0.15552exp(-x^0.25187) + 0.20549
216,0.20872586921269312,0.2090506126546668,0.0035606126546667838,-0.0015534201878188987,0.15552exp(-x^0.25187) + 0.20549
217,0.20871131533472978,0.2090425190363849,0.003552519036384899,-0.0015843843787467819,0.15552exp(-x^0.25187) + 0.20549
218,0.20869687666772652,0.2090344802995665,0.0035444802995664992,-0.0016150619331134768,0.15552exp(-x^0.25187) + 0.20549
219,0.2086825518517638,0.2090264958045221,0.0035364958045220884,-0.0016454562443602963,0.15552exp(-x^0.25187) + 0.20549
220,0.2086683395485436,0.2090185649202058,0.0035285649202057845,-0.0016755706451045804,0.15552exp(-x^0.25187) + 0.20549
221,0.2086542384409553,0.2090106870255511,0.0035206870255510836,-0.0017054084155621316,0.15552exp(-x^0.25187) + 0.20549
222,0.20864024723265182,0.2090028615094848,0.0035128615094847937,-0.0017349727856071887,0.15552exp(-x^0.25187) + 0.20549
223,0.20862636464763634,0.2089950877742458,0.0035050877742457964,-0.0017642669525694836,0.15552exp(-x^0.25187) + 0.20549
224,0.20861258942985875,0.2089873652718541,0.003497365271854097,-0.0017932942573243209,0.15552exp(-x^0.25187) + 0.20549
225,0.2085989203428218,0.2089796932831148,0.0034896932831147975,-0.001822057130580435,0.15552exp(-x^0.25187) + 0.20549
226,0.20858535616919682,0.2089720713750784,0.0034820713750783883,-0.001850559279701385,0.15552exp(-x^0.25187) + 0.20549
227,0.20857189571044837,0.2089644989388688,0.003474498938868781,-0.0018788034829555732,0.15552exp(-x^0.25187) + 0.20549
228,0.20855853778646793,0.2089569754203476,0.003466975420347601,-0.0019067926929845567,0.15552exp(-x^0.25187) + 0.20549
